,main_category,avg_selling_price,avg_items_sold,no_of_products,items_sold
0,Laundry,329,121,54,6546
1,Food cupboard,415,110,547,60340
2,Women's clothing,555,51,62,3173
3,Household care,298,46,165,7739
4,Unisex's accessories,981,45,15,688
5,Appliances,2686,44,97,4282
6,Men's clothing,791,43,85,3705
7,Beauty & perfumes,572,42,630,26598
8,Men's accessories,498,42,93,3930
9,Computing,1405,41,160,6684
10,Women's accessories,594,39,156,6192
11,Phones,5872,38,286,10907
12,"TVs, Audio and Video",4512,36,191,6913
13,Automotive & Motorcycles,1026,36,11,402
14,Tobacco,791,32,4,128
15,Women's shoes,533,31,41,1276
16,Home,1352,29,236,6869
17,Kids and Baby,701,28,37,1066
18,Men's shoes,970,27,63,1721
19,Fashion,500,27,4,109
20,Tablets & Accessories,3344,26,6,157
21,Sport & Fitness,823,24,15,372
22,Boys,650,22,8,176
23,Beverages,548,22,4,89
24,Adulte,1232,22,4,91
25,Cameras & Accessories,1403,21,16,344
26,Games & Consoles,2792,20,3,60
27,Girls,279,17,1,17
28,Musical Instruments,209,17,2,35
29,Books & Stationery,816,15,3,47
